"dataid";"localminute";"use";"air1";"air2";"air3";"airwindowunit1";"aquarium1";"bathroom1";"bathroom2";"bedroom1";"bedroom2";"bedroom3";"bedroom4";"bedroom5";"car1";"clotheswasher1";"clotheswasher_dryg1";"diningroom1";"diningroom2";"dishwasher1";"disposal1";"drye1";"dryg1";"freezer1";"furnace1";"furnace2";"garage1";"garage2";"gen";"grid";"heater1";"housefan1";"icemaker1";"jacuzzi1";"kitchen1";"kitchen2";"kitchenapp1";"kitchenapp2";"lights_plugs1";"lights_plugs2";"lights_plugs3";"lights_plugs4";"lights_plugs5";"lights_plugs6";"livingroom1";"livingroom2";"microwave1";"office1";"outsidelights_plugs1";"outsidelights_plugs2";"oven1";"oven2";"pool1";"pool2";"poollight1";"poolpump1";"pump1";"range1";"refrigerator1";"refrigerator2";"security1";"shed1";"sprinkler1";"unknown1";"unknown2";"unknown3";"unknown4";"utilityroom1";"venthood1";"waterheater1";"waterheater2";"winecooler1"
3299;"2013-12-31 19:12:00-06";0.131;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.131;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:13:00-06";0.131;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.131;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:14:00-06";0.131;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.131;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:15:00-06";0.249;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.249;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.121;;;;;;;;;;;0;;
3299;"2013-12-31 19:16:00-06";2.167;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;2.167;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.128;;;;;;;;;;;1.915;;
3299;"2013-12-31 19:17:00-06";3.586;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.586;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.127;;;;;;;;;;;3.338;;
3299;"2013-12-31 19:18:00-06";3.594;0.004;;;;;;;;;;;;;;;;;;;;;;0;;;;;3.594;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.127;;;;;;;;;;;3.346;;
3299;"2013-12-31 19:19:00-06";0.613;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.613;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.125;;;;;;;;;;;0.360;;
3299;"2013-12-31 19:20:00-06";0.249;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.249;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.124;;;;;;;;;;;0;;
3299;"2013-12-31 19:21:00-06";0.247;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.247;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.122;;;;;;;;;;;0;;
3299;"2013-12-31 19:22:00-06";0.246;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.246;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.122;;;;;;;;;;;0;;
3299;"2013-12-31 19:23:00-06";0.245;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.245;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.121;;;;;;;;;;;0;;
3299;"2013-12-31 19:24:00-06";0.244;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.244;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.120;;;;;;;;;;;0;;
3299;"2013-12-31 19:25:00-06";0.244;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.244;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.119;;;;;;;;;;;0;;
3299;"2013-12-31 19:26:00-06";0.243;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.243;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.119;;;;;;;;;;;0;;
3299;"2013-12-31 19:27:00-06";0.233;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.233;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0.108;;;;;;;;;;;0;;
3299;"2013-12-31 19:28:00-06";0.127;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.127;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:29:00-06";0.127;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.127;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:30:00-06";0.127;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.127;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:31:00-06";0.127;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0.127;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;0;;
3299;"2013-12-31 19:32:00-06";1.414;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;1.414;;;;;;;0;0.025;;;;;;;;;0;;;;;;;;;;;0;0;;;;;;;;;;;1.291;;
